Item_FatContent,Item_Weight,Total_Sales,Outlet_Type,Rating,Outlet_Size,Outlet_LocationType,Outlet_Identifier,Item_Type,Item_Identifier,Outlet_EstablishmentYear,Item_Visibility
Regular,16,76.1986,SupermarketType1,5,Medium,Tier2,OUT017,Dairy,FDC40,2020,0.065431917
LowFat,13.35,150.2392,SupermarketType1,5,Medium,Tier2,OUT017,FrozenFoods,FDB53,2020,0.140241213
LowFat,6.695,221.9456,SupermarketType1,5,Small,Tier2,OUT035,FrozenFoods,FDA16,2017,0.033935576
Regular,,47.4034,SupermarketType3,5,Medium,Tier3,OUT027,FruitsandVegetables,FDO19,1998,0.016516275
LowFat,16.6,57.2614,SupermarketType1,5,Small,Tier1,OUT046,FrozenFoods,FDO04,2010,0.026537206
Regular,6.92,93.1804,SupermarketType1,5,Medium,Tier1,OUT049,Breakfast,FDL25,2012,0.131128467
LowFat,5.82,167.779,SupermarketType1,5,Small,Tier1,OUT046,Household,NCJ30,2010,0.080640478
LowFat,14.8,196.3794,SupermarketType1,5,High,Tier3,OUT013,HealthandHygiene,NCQ41,2000,0.01946418
LowFat,10.1,59.9878,SupermarketType1,5,High,Tier3,OUT013,HardDrinks,DRJ35,2000,0.046545786
LowFat,7.67,35.4216,SupermarketType1,5,High,Tier3,OUT013,Household,NCE31,2000,0.184689756
LowFat,15.6,174.3054,SupermarketType1,5,Medium,Tier2,OUT017,SnackFoods,FDY09,2020,0.025342692
lowfat,9.31,61.651,SupermarketType1,5,High,Tier3,OUT013,FrozenFoods,FDZ04,2000,0.037923509
LowFat,11.8,46.8402,SupermarketType1,5,Medium,Tier2,OUT045,FruitsandVegetables,FDY07,2015,0.121848436
Regular,13.15,88.6856,SupermarketType1,5,Medium,Tier2,OUT045,SnackFoods,FDO45,2015,0.038029746
LowFat,16.25,126.2046,SupermarketType1,5,Medium,Tier1,OUT049,FruitsandVegetables,FDB09,2012,0.057485328
Regular,13.85,119.6124,SupermarketType1,5,Small,Tier1,OUT046,Meat,FDP51,2010,0.085274988
Regular,6.75,95.6752,SupermarketType1,5,High,Tier3,OUT013,Dairy,FDT50,2000,0.108148913
Regular,,62.9536,SupermarketType3,5,Medium,Tier3,OUT027,FruitsandVegetables,FDQ08,1998,0.018838681
LowFat,10.5,159.0946,SupermarketType1,5,Medium,Tier2,OUT045,HardDrinks,DRL11,2015,0.048115543
LowFat,9.3,104.2964,SupermarketType1,5,Medium,Tier1,OUT049,SnackFoods,FDT34,2012,0.174621343
Regular,20.75,150.5682,GroceryStore,5,Medium,Tier3,OUT010,Breakfast,FDP01,2011,0.105994654
LowFat,19.2,239.2196,SupermarketType1,5,High,Tier3,OUT013,Others,NCJ31,2000,0.182501773
LowFat,18.1,127.3336,SupermarketType1,5,Small,Tier2,OUT035,Household,NCL30,2017,0.048931174
LF,17.5,256.3304,SupermarketType1,5,Medium,Tier1,OUT049,FrozenFoods,FDF04,2012,0.013658248
LF,10.5,235.5248,SupermarketType1,5,Medium,Tier1,OUT049,Household,NCZ42,2012,0.011305479
LowFat,7.975,82.425,SupermarketType1,5,Medium,Tier1,OUT049,BakingGoods,FDG24,2012,0.014653896
LowFat,10,264.6226,SupermarketType1,5,Medium,Tier1,OUT049,Canned,FDV49,2012,0.025867353
LowFat,10.1,114.915,SupermarketType1,5,Medium,Tier1,OUT049,Canned,FDX01,2012,0.024201905
LowFat,8.93,152.234,SupermarketType1,5,Medium,Tier1,OUT049,Dairy,DRF27,2012,0.028461453
LowFat,7.3,147.2076,SupermarketType1,5,Medium,Tier1,OUT049,FrozenFoods,FDF16,2012,0.086266286
LowFat,7.93,122.1414,SupermarketType1,5,Medium,Tier1,OUT049,FrozenFoods,FDU04,2012,0.005557062
LowFat,15.35,62.7168,SupermarketType1,5,Medium,Tier1,OUT049,FrozenFoods,FDP04,2012,0.013834247
LowFat,19.35,120.9098,SupermarketType1,5,Medium,Tier1,OUT049,FrozenFoods,FDD05,2012,0.016637301
LowFat,9.5,111.1228,SupermarketType1,5,Medium,Tier1,OUT049,FruitsandVegetables,FDV07,2012,0.031331581
LowFat,10.5,39.2164,SupermarketType1,5,Medium,Tier1,OUT049,FruitsandVegetables,FDT20,2012,0.041459804
LowFat,15.6,111.9518,SupermarketType1,5,Medium,Tier1,OUT049,FruitsandVegetables,FDC44,2012,0
LowFat,5.88,153.8998,SupermarketType1,5,Medium,Tier1,OUT049,HardDrinks,DRM59,2012,0.003597678
LowFat,8.88,153.3682,SupermarketType1,5,Medium,Tier1,OUT049,HardDrinks,DRG23,2012,0.086916126
LowFat,10.6,84.7224,SupermarketType1,5,Medium,Tier1,OUT049,HealthandHygiene,NCJ29,2012,0.035247642
LowFat,6.13,110.0912,SupermarketType1,5,Medium,Tier1,OUT049,Household,NCM42,2012,0.028365524
LowFat,6.38,144.947,SupermarketType1,5,Medium,Tier1,OUT049,Household,NCY42,2012,0.015186146
LowFat,9.195,107.7622,SupermarketType1,5,Medium,Tier1,OUT049,Household,NCX54,2012,0.048134591
LowFat,11.3,180.766,SupermarketType1,5,Medium,Tier1,OUT049,Household,NCI06,2012,0.047791878
LowFat,12.6,186.9556,SupermarketType1,5,Medium,Tier1,OUT049,Household,NCQ02,2012,0.007468056
LowFat,17.25,253.4724,SupermarketType1,5,Medium,Tier1,OUT049,Household,NCR38,2012,0.113694957
LowFat,19.1,41.9796,SupermarketType1,5,Medium,Tier1,OUT049,Household,NCM30,2012,0.067400032
LowFat,9.8,126.302,SupermarketType1,5,Medium,Tier1,OUT049,Meat,FDK43,2012,0.026882496
LowFat,7.905,249.6408,SupermarketType1,5,Medium,Tier1,OUT049,SnackFoods,FDK21,2012,0.010027885
LowFat,10.8,239.2222,SupermarketType1,5,Medium,Tier1,OUT049,SnackFoods,FDR45,2012,0.028988288
LowFat,12.1,147.5734,SupermarketType1,5,Medium,Tier1,OUT049,SnackFoods,FDV09,2012,0.020600553
Regular,15.5,261.7568,SupermarketType1,5,Medium,Tier1,OUT049,BakingGoods,FDU12,2012,0.075868843
Regular,20.7,99.8042,SupermarketType1,5,Medium,Tier1,OUT049,BakingGoods,FDZ47,2012,0.079419755
Regular,8,247.4092,SupermarketType1,5,Medium,Tier1,OUT049,Breads,FDO11,2012,0.030311951
Regular,19.5,85.554,SupermarketType1,5,Medium,Tier1,OUT049,Canned,FDU49,2012,0.030742083
Regular,14,145.4786,SupermarketType1,5,Medium,Tier1,OUT049,Dairy,FDA02,2012,0.02976887
Regular,20.25,194.2794,SupermarketType1,5,Medium,Tier1,OUT049,Dairy,FDV26,2012,0
Regular,11.3,257.2962,SupermarketType1,5,Medium,Tier1,OUT049,FrozenFoods,FDA04,2012,0.066833743
Regular,11.6,172.4106,SupermarketType1,5,Medium,Tier1,OUT049,FrozenFoods,FDO52,2012,0.077284566
Regular,16,87.0856,SupermarketType1,5,Medium,Tier1,OUT049,FrozenFoods,FDA40,2012,0.09942555
Regular,10.195,197.111,SupermarketType1,5,Medium,Tier1,OUT049,Meat,FDS27,2012,0.012477512
Regular,13.65,37.9532,SupermarketType1,5,Medium,Tier1,OUT049,Meat,FDU15,2012,0.026643448
Regular,9.6,259.2304,SupermarketType1,5,Medium,Tier1,OUT049,SnackFoods,FDV33,2012,0.027386122
Regular,10.695,73.5038,SupermarketType1,5,Medium,Tier1,OUT049,SnackFoods,FDV34,2012,0.011443222
Regular,12.3,59.1562,SupermarketType1,5,Medium,Tier1,OUT049,SnackFoods,FDX46,2012,0.058207114
lowfat,11.395,50.3034,SupermarketType1,5,Medium,Tier1,OUT049,HealthandHygiene,NCA53,2012,0.009893817
reg,12.35,78.2328,SupermarketType1,5,Medium,Tier1,OUT049,BakingGoods,FDT24,2012,0.18614827
reg,20.7,94.9436,SupermarketType1,5,Medium,Tier1,OUT049,Dairy,FDX27,2012,0.114294512
LF,,108.228,GroceryStore,5,Small,Tier1,OUT019,Others,NCQ38,1998,0.023402893
LowFat,,120.544,GroceryStore,5,Small,Tier1,OUT019,Canned,FDK02,1998,0.196490902
LowFat,,263.1884,GroceryStore,5,Small,Tier1,OUT019,Dairy,FDI15,1998,0.24749009
LowFat,,109.7228,GroceryStore,5,Small,Tier1,OUT019,FruitsandVegetables,FDE09,1998,0.037824735
LowFat,,150.3734,GroceryStore,5,Small,Tier1,OUT019,FruitsandVegetables,FDS55,1998,0.142107998
LowFat,,167.5474,GroceryStore,5,Small,Tier1,OUT019,FruitsandVegetables,FDZ56,1998,0.04506213
LowFat,,148.2734,GroceryStore,5,Small,Tier1,OUT019,HealthandHygiene,NCA05,1998,0.044000492
LowFat,,123.473,GroceryStore,5,Small,Tier1,OUT019,HealthandHygiene,NCK29,1998,0
LowFat,,145.976,GroceryStore,5,Small,Tier1,OUT019,HealthandHygiene,NCU29,1998,0.044607722
LowFat,,210.5244,GroceryStore,5,Small,Tier1,OUT019,HealthandHygiene,NCX41,1998,0.031024168
LowFat,,189.753,GroceryStore,5,Small,Tier1,OUT019,Household,NCG07,1998,0.091924311
LowFat,,244.346,GroceryStore,5,Small,Tier1,OUT019,Household,NCI30,1998,0.103188491
LowFat,,194.711,GroceryStore,5,Small,Tier1,OUT019,Household,NCR54,1998,0.158562708
LowFat,,167.7842,GroceryStore,5,Small,Tier1,OUT019,Household,NCT06,1998,0.067824456
LowFat,,140.318,GroceryStore,5,Small,Tier1,OUT019,Meat,FDN15,1998,0.029299175
LowFat,,34.2216,GroceryStore,5,Small,Tier1,OUT019,Seafood,FDJ45,1998,0.128532558
Regular,,232.73,GroceryStore,5,Small,Tier1,OUT019,Breakfast,FDL13,1998,0.098606543
Regular,,107.1622,GroceryStore,5,Small,Tier1,OUT019,Canned,FDL02,1998,0.182236555
Regular,,179.1976,GroceryStore,5,Small,Tier1,OUT019,FruitsandVegetables,FDF56,1998,0.209162936
Regular,,101.399,GroceryStore,5,Small,Tier1,OUT019,Meat,FDQ27,1998,0.077480627
Regular,,173.8738,GroceryStore,5,Small,Tier1,OUT019,StarchyFoods,FDG35,1998,0.012327847
reg,,103.7674,GroceryStore,5,Small,Tier1,OUT019,Canned,FDD38,1998,0.014342659
reg,,83.7566,GroceryStore,5,Small,Tier1,OUT019,FrozenFoods,FDE41,1998,0
LowFat,20.6,119.4756,SupermarketType1,5,Small,Tier1,OUT046,BakingGoods,FDP24,2010,0.083004078
LowFat,6.425,115.8808,SupermarketType1,5,Small,Tier1,OUT046,Canned,FDH38,2010,0.01043823
LowFat,7,107.728,SupermarketType1,5,Small,Tier1,OUT046,Canned,FDT49,2010,0.151405587
LowFat,16.5,208.8638,SupermarketType1,5,Small,Tier1,OUT046,Canned,FDN02,2010,0.073827748
LowFat,8.93,154.534,SupermarketType1,5,Small,Tier1,OUT046,Dairy,DRF27,2010,0.028417272
LowFat,12.6,36.1874,SupermarketType1,5,Small,Tier1,OUT046,Dairy,FDT02,2010,0.024194731
LowFat,17.5,264.491,SupermarketType1,5,Small,Tier1,OUT046,FrozenFoods,FDF05,2010,0.02687089
LowFat,13.1,175.5054,SupermarketType1,5,Small,Tier1,OUT046,FruitsandVegetables,FDI45,2010,0.037581243
LowFat,16.1,252.3356,SupermarketType1,5,Small,Tier1,OUT046,FruitsandVegetables,FDZ20,2010,0.034306962
LowFat,15,140.2838,SupermarketType1,5,Small,Tier1,OUT046,HealthandHygiene,NCC42,2010,0.044908404
LowFat,17.6,234.659,SupermarketType1,5,Small,Tier1,OUT046,HealthandHygiene,NCQ53,2010,0.018905326
LowFat,16.35,198.211,SupermarketType1,5,Small,Tier1,OUT046,Household,NCR54,2010,0.090562192
LowFat,17.6,182.6976,SupermarketType1,5,Small,Tier1,OUT046,Household,NCX06,2010,0.015687045
LowFat,19.25,32.4558,SupermarketType1,5,Small,Tier1,OUT046,Household,NCO06,2010,0.108030434
LowFat,20.35,76.1328,SupermarketType1,5,Small,Tier1,OUT046,Household,NCN54,2010,0.021326471
LowFat,6.17,65.9826,SupermarketType1,5,Small,Tier1,OUT046,Meat,FDL27,2010,0.010630949
LowFat,16.35,165.7842,SupermarketType1,5,Small,Tier1,OUT046,Meat,FDV51,2010,0.032538896
LowFat,17.7,182.6266,SupermarketType1,5,Small,Tier1,OUT046,SnackFoods,FDC46,2010,0.116542484
LowFat,17.85,122.8072,SupermarketType1,5,Small,Tier1,OUT046,SnackFoods,FDZ58,2010,0.052176861
LowFat,18.6,161.0236,SupermarketType1,5,Small,Tier1,OUT046,SnackFoods,FDN21,2010,0.076855628
LowFat,19.6,166.1526,SupermarketType1,5,Small,Tier1,OUT046,SnackFoods,FDO58,2010,0.039577173
LowFat,13.85,143.3154,SupermarketType1,5,Small,Tier1,OUT046,SoftDrinks,DRD24,2010,0.030795085
LowFat,15.85,58.7904,SupermarketType1,5,Small,Tier1,OUT046,SoftDrinks,DRI37,2010,0.107597879
Regular,9.395,89.6856,SupermarketType1,5,Small,Tier1,OUT046,BakingGoods,FDI12,2010,0.10039894
Regular,9.8,36.9874,SupermarketType1,5,Small,Tier1,OUT046,BakingGoods,FDP12,2010,0.045266806
Regular,21.1,130.4994,SupermarketType1,5,Small,Tier1,OUT046,Breakfast,FDO01,2010,0.020718655
Regular,8.1,88.6198,SupermarketType1,5,Small,Tier1,OUT046,Canned,FDZ37,2010,0.019768503
Regular,11.35,182.5608,SupermarketType1,5,Small,Tier1,OUT046,Dairy,FDJ15,2010,0.023322478
Regular,9.195,53.1666,SupermarketType1,5,Small,Tier1,OUT046,FrozenFoods,FDM04,2010,0.04712061
Regular,11.5,100.8358,SupermarketType1,5,Small,Tier1,OUT046,FrozenFoods,FDI40,2010,0.125602951
Regular,19.6,49.9376,SupermarketType1,5,Small,Tier1,OUT046,FrozenFoods,FDX04,2010,0.041571557
Regular,9.195,106.3596,SupermarketType1,5,Small,Tier1,OUT046,Meat,FDS15,2010,0.078060601
Regular,7.42,184.6582,SupermarketType1,5,Small,Tier1,OUT046,Seafood,FDJ57,2010,0.021573645
Regular,17.35,150.405,SupermarketType1,5,Small,Tier1,OUT046,Seafood,FDG21,2010,0.146299902
Regular,5.34,99.5358,SupermarketType1,5,Small,Tier1,OUT046,SnackFoods,FDW21,2010,0.005963881
Regular,6.385,37.1874,SupermarketType1,5,Small,Tier1,OUT046,SnackFoods,FDX10,2010,0.123710526
LF,17.25,171.5764,SupermarketType1,5,Medium,Tier2,OUT045,Dairy,DRI51,2015,0
LF,12.15,39.1506,SupermarketType1,5,Medium,Tier2,OUT017,HealthandHygiene,NCZ17,2020,0
LF,15.35,91.912,SupermarketType1,5,Medium,Tier2,OUT017,SoftDrinks,DRE25,2020,0.073697713
LowFat,12,124.6388,SupermarketType1,5,Medium,Tier2,OUT045,BakingGoods,FDT60,2015,0.075701524
LowFat,14.1,56.1956,SupermarketType1,5,Medium,Tier2,OUT045,BakingGoods,FDN24,2015,0.11349714
LowFat,8.06,232.0326,SupermarketType1,5,Medium,Tier2,OUT045,Breakfast,FDO37,2015,0.021420031
LowFat,14.1,140.2496,SupermarketType1,5,Medium,Tier2,OUT045,Canned,FDI14,2015,0.089859642
LowFat,19.2,89.7488,SupermarketType1,5,Medium,Tier2,OUT045,Canned,FDW37,2015,0.124301968
LowFat,13.8,247.4802,SupermarketType1,5,Medium,Tier2,OUT045,Dairy,DRC27,2015,0.058220302
LowFat,9.065,96.0094,SupermarketType1,5,Medium,Tier2,OUT045,FrozenFoods,FDK16,2015,0.115563679
LowFat,14.3,83.6224,SupermarketType1,5,Medium,Tier2,OUT045,FrozenFoods,FDK41,2015,0.12780038
LowFat,5.98,146.1418,SupermarketType1,5,Medium,Tier2,OUT045,FruitsandVegetables,FDY31,2015,0.043651198
LowFat,10.5,36.8164,SupermarketType1,5,Medium,Tier2,OUT045,FruitsandVegetables,FDT20,2015,0.041479396
LowFat,13.1,175.8054,SupermarketType1,5,Medium,Tier2,OUT045,FruitsandVegetables,FDI45,2015,0.037657459
LowFat,14.7,48.6034,SupermarketType1,5,Medium,Tier2,OUT045,FruitsandVegetables,FDG57,2015,0.072444983
LowFat,17.5,184.8266,SupermarketType1,5,Medium,Tier2,OUT045,FruitsandVegetables,FDN32,2015,0.015591925
LowFat,19.1,233.8958,SupermarketType1,5,Medium,Tier2,OUT045,FruitsandVegetables,FDX19,2015,0.096929994
LowFat,19.85,125.602,SupermarketType1,5,Medium,Tier2,OUT045,FruitsandVegetables,FDP20,2015,0.045761855
LowFat,9.8,116.4492,SupermarketType1,5,Small,Tier2,OUT045,HealthandHygiene,NCR17,2015,0.024432767
LowFat,10.8,190.0214,SupermarketType1,5,Small,Tier2,OUT045,HealthandHygiene,NCT17,2015,0.041950753
LowFat,11.8,79.1618,SupermarketType1,5,Small,Tier2,OUT045,HealthandHygiene,NCU05,2015,0.058855357
LowFat,5.88,148.4392,SupermarketType1,5,Small,Tier2,OUT045,Household,NCT42,2015,0.024937792
LowFat,6.775,84.625,SupermarketType1,5,Small,Tier2,OUT045,Household,NCV18,2015,0.105459307
LowFat,8.42,216.4192,SupermarketType1,5,Small,Tier2,OUT045,Household,NCH43,2015,0.070712031
LowFat,10,251.675,SupermarketType1,5,Small,Tier2,OUT045,Household,NCE18,2015,0.021468792
LowFat,19.1,173.9422,SupermarketType1,5,Small,Tier2,OUT045,Household,NCC18,2015,0.177629525
LowFat,19.75,104.2332,SupermarketType1,5,Small,Tier2,OUT045,Household,NCJ42,2015,0.01433033
LowFat,12.85,172.4422,SupermarketType1,5,Small,Tier2,OUT045,SnackFoods,FDQ10,2015,0.03324652
LowFat,16,142.6496,SupermarketType1,5,Small,Tier2,OUT045,SnackFoods,FDL34,2015,0.041028937
LowFat,5,189.853,SupermarketType1,5,Small,Tier2,OUT045,SoftDrinks,DRK37,2015,0
LowFat,5.73,188.1898,SupermarketType1,5,Small,Tier2,OUT045,SoftDrinks,DRF48,2015,0.05190652
LowFat,7.81,246.0486,SupermarketType1,5,Small,Tier2,OUT045,SoftDrinks,DRG49,2015,0.067592098
LowFat,14.35,79.196,SupermarketType1,5,Small,Tier2,OUT017,BakingGoods,FDX60,2020,0.081050006
LowFat,6.465,266.8884,SupermarketType1,5,Small,Tier2,OUT017,Canned,FDS13,2020,0.125210375
LowFat,15.85,94.4094,SupermarketType1,5,Small,Tier2,OUT017,Canned,FDC50,2020,0.13727
LowFat,19.85,264.5884,SupermarketType1,5,Small,Tier2,OUT017,Dairy,FDK51,2020,0.005264755
LowFat,7.5,239.6906,SupermarketType1,5,Small,Tier2,OUT017,FrozenFoods,FDD17,2020,0.032811503
LowFat,12.3,191.2162,SupermarketType1,5,Small,Tier2,OUT017,FrozenFoods,FDJ28,2020,0.021984639
LowFat,18.6,243.6802,SupermarketType1,5,Small,Tier2,OUT017,FrozenFoods,FDP16,2020,0.039517121
LowFat,7.72,79.1986,SupermarketType1,5,Small,Tier2,OUT017,FruitsandVegetables,FDB20,2020,0.052274691
LowFat,8.185,49.9692,SupermarketType1,5,Small,Tier2,OUT017,FruitsandVegetables,FDP56,2020,0.046747071
LowFat,16.35,50.8324,SupermarketType1,5,Small,Tier2,OUT017,FruitsandVegetables,FDT43,2020,0.020664178
LowFat,9.5,223.5088,SupermarketType1,5,Small,Tier2,OUT017,HardDrinks,DRI59,2020,0.041065647
LowFat,12.1,178.366,SupermarketType1,5,Small,Tier2,OUT017,HardDrinks,DRN47,2020,0.016921927
LowFat,16.6,173.3422,SupermarketType1,5,Small,Tier2,OUT017,HardDrinks,DRM23,2020,0.136500981
LowFat,5.175,33.5874,SupermarketType1,5,Small,Tier2,OUT017,HealthandHygiene,NCN53,2020,0.030527166
LowFat,5.4,163.0526,SupermarketType1,5,Small,Tier2,OUT017,HealthandHygiene,NCT53,2020,0.048388423
LowFat,11.395,149.2708,SupermarketType1,5,Small,Tier2,OUT017,HealthandHygiene,NCQ05,2020,0
LowFat,18.75,108.128,SupermarketType1,5,Small,Tier2,OUT017,HealthandHygiene,NCM53,2020,0.05233528
LowFat,6.36,163.0526,SupermarketType1,5,Small,Tier2,OUT017,Household,NCX42,2020,0.006012413
LowFat,14.6,179.6976,SupermarketType1,5,High,Tier2,OUT017,Household,NCT18,2020,0.059741172
LowFat,20.25,246.446,SupermarketType1,5,High,Tier2,OUT017,Household,NCI30,2020,0.059268885
LowFat,20.7,73.9354,SupermarketType1,5,High,Tier2,OUT017,Household,NCE54,2020,0.027052013
LowFat,19.35,173.8738,SupermarketType1,5,High,Tier2,OUT017,Meat,FDH19,2020,0.033275634
LowFat,21.25,183.1608,SupermarketType1,5,High,Tier2,OUT017,Meat,FDT03,2020,0.01005532
LowFat,13.1,190.253,SupermarketType1,5,High,Tier2,OUT017,Others,NCN19,2020,0.012167988
LowFat,17.75,108.8912,SupermarketType1,5,High,Tier2,OUT017,Others,NCQ43,2020,0.111931193
LowFat,15.2,227.2352,SupermarketType1,5,High,Tier2,OUT017,SnackFoods,FDK09,2020,0.092282353
LowFat,18.2,139.818,SupermarketType1,5,High,Tier2,OUT017,SnackFoods,FDV46,2020,0.012679191
LowFat,18.6,188.9898,SupermarketType1,5,High,Tier2,OUT017,SnackFoods,FDY46,2020,0.048160824
Regular,5.46,187.624,SupermarketType1,5,High,Tier2,OUT045,Canned,FDK26,2015,0.032242661
Regular,8.42,227.6352,SupermarketType1,5,High,Tier2,OUT045,Canned,FDI50,2015,0.030905215
Regular,14,52.364,SupermarketType1,5,High,Tier2,OUT045,Canned,FDB26,2015,0.031330907
Regular,17.2,165.7184,SupermarketType1,5,High,Tier2,OUT045,Canned,FDY49,2015,0.012036432
Regular,11.35,88.9856,SupermarketType1,5,High,Tier2,OUT045,Dairy,FDB04,2015,0.063354531
Regular,14,146.3786,SupermarketType1,5,High,Tier2,OUT045,Dairy,FDA02,2015,0.029782937
Regular,20,128.0678,SupermarketType1,5,High,Tier2,OUT045,FrozenFoods,FDZ28,2015,0.051596927
Regular,20.1,152.2366,SupermarketType1,5,High,Tier2,OUT045,FrozenFoods,FDE17,2015,0.054565932
Regular,7.35,241.3512,SupermarketType1,5,High,Tier2,OUT045,FruitsandVegetables,FDQ19,2015,0.014394261
Regular,10.1,222.9088,SupermarketType1,5,High,Tier2,OUT045,FruitsandVegetables,FDM08,2015,0.053692878
Regular,5.15,122.1388,SupermarketType1,5,High,Tier2,OUT045,Meat,FDP03,2015,0.061301149
Regular,6.61,186.4898,SupermarketType1,5,High,Tier2,OUT045,SnackFoods,FDU58,2015,0
Regular,10.3,84.854,SupermarketType1,5,High,Tier2,OUT045,SnackFoods,FDU46,2015,0.011148865
Regular,10.5,167.1842,SupermarketType1,5,High,Tier2,OUT045,SnackFoods,FDY34,2015,0.01100413
Regular,13.5,262.191,SupermarketType1,5,High,Tier2,OUT045,SnackFoods,FDO09,2015,0.125528734
Regular,7.52,181.395,SupermarketType1,5,High,Tier2,OUT017,BakingGoods,FDP48,2020,0.044272226
Regular,9.395,86.8856,SupermarketType1,5,High,Tier2,OUT017,BakingGoods,FDI12,2020,0.100966837
Regular,9.8,50.0008,SupermarketType1,5,High,Tier2,OUT017,BakingGoods,FDY12,2020,0.141406394
Regular,17.75,154.0656,SupermarketType1,5,High,Tier2,OUT017,BakingGoods,FDX48,2020,0.038102203
Regular,20.2,195.811,SupermarketType1,5,High,Tier2,OUT017,BakingGoods,FDV60,2020,0.118025091
Regular,7.155,35.2874,SupermarketType1,5,High,Tier2,OUT017,Breads,FDQ47,2020,0.169137707
Regular,7.84,50.835,SupermarketType1,5,High,Tier2,OUT017,Canned,FDZ13,2020,0.154363209
Regular,9.195,50.8666,SupermarketType1,5,High,Tier2,OUT017,FrozenFoods,FDM04,2020,0.047387144
Regular,10.195,141.5838,SupermarketType1,5,High,Tier2,OUT017,FrozenFoods,FDS04,2020,0.147492524
Regular,16.1,35.1558,SupermarketType1,5,High,Tier2,OUT017,FrozenFoods,FDV28,2020,0
Regular,8.77,170.5422,SupermarketType1,5,Medium,Tier2,OUT017,FruitsandVegetables,FDU19,2020,0.047036036
Regular,17.25,61.5194,SupermarketType1,5,Medium,Tier2,OUT017,FruitsandVegetables,FDE56,2020,0.160095901
Regular,12.35,197.2426,SupermarketType1,5,Medium,Tier2,OUT017,Meat,FDI07,2020,0.033951827
Regular,13.65,36.6532,SupermarketType1,5,Medium,Tier2,OUT017,Meat,FDU15,2020,0
Regular,18.6,47.1376,SupermarketType1,5,Medium,Tier2,OUT017,Meat,FDU27,2020,0.172446822
Regular,19.35,167.0816,SupermarketType1,5,Medium,Tier2,OUT017,Meat,FDN39,2020,0.065890998
Regular,7.645,44.0112,SupermarketType1,5,Medium,Tier2,OUT017,SnackFoods,FDV10,2020,0.067083367
Regular,13.15,89.4856,SupermarketType1,5,Medium,Tier2,OUT017,SnackFoods,FDO45,2020,0.038167453
Regular,19.2,226.6062,SupermarketType1,5,Medium,Tier2,OUT017,StarchyFoods,FDB23,2020,0.005620213
